SectorCode;PolygonToString;Polygon
LECBBAS;POLYGON ((1.71583342552185 39.221389770507812, 1.88444447517395 38.608608245849609, 2.12249994277954 37.726112365722663, 3.5986111164093 38.278057098388672, 3.75 38.333332061767578, 4.66666650772095 39, 4.66666650772095 39.716388702392578, 4.66666650772095 39.956668853759773, 4.66666650772095 40.063331604003913, 4.66666650772095 40.180278778076172, 4.16138887405396 39.954166412353523, 3.6266667842865 39.799999237060547, 3.71166682243347 40.183891296386719, 2.90500020980835 40.422222137451172, 2.52388882637024 40.180835723876953, 2.26361107826233 40.014446258544922, 1.92166674137115 39.723335266113281, 1.71583342552185 39.221389770507812));0xE610000001041200000000000080569C4340FDFFFFBF0D74FB3F000000E0E64D4340FFFFFF3FAF26FE3F01000040F1DC4240FEFFFF3FE1FA00400000006097234340FCFFFF9FF4C90C40000000A0AA2A43400000000000000E400000000000804340030000A0AAAA1240000000A0B2DB4340030000A0AAAA12400100002074FA4340030000A0AAAA1240010000401B084440030000A0AAAA12400000006013174440030000A0AAAA12400100002022FA43400600002043A510400000006066E64340020000E069030D40000000C089174440FCFFFF5F7EB10D40000000600B364440010000C0703D0740000000A025174440020000A0EC30044000000060D901444002000020E01B02400000004096DC4340EAFFFF9F25BFFE3F00000080569C4340FDFFFFBF0D74FB3F01000000020000000001000000FFFFFFFF0000000003
LECBCCC;POLYGON ((1.72805559635162 42.504444122314453, 1.80888879299164 42.024723052978523, 1.81833326816559 41.970279693603523, 1.85638892650604 41.755832672119141, 1.88277781009674 41.606666564941413, 1.89055550098419 41.563331604003913, 1.93722224235535 41.283611297607422, 1.94305562973022 41.248611450195312, 1.95027780532837 41.2055549621582, 1.96722221374512 41.104164123535163, 1.97805559635162 41.043056488037109, 1.98583340644836 40.9988899230957, 2.04444432258606 40.653057098388672, 2.05361104011536 40.600555419921882, 2.10888886451721 40.296112060546882, 2.26361107826233 40.014446258544922, 2.52388882637024 40.180835723876953, 2.90500020980835 40.422222137451172, 2.91444444656372 40.5, 2.91805553436279 40.670280456542969, 2.92888903617859 40.867774963378913, 2.94027781486511 41.081943511962891, 2.96277785301209 41.488334655761719, 3.7425000667572 41.798610687255859, 3.98000001907349 42.202499389648438, 3.37555575370789 42.374721527099609, 3.16666674613953 42.433334350585938, 3.11666655540466 42.440277099609382, 2.99166679382324 42.475002288818359, 2.90750002861023 42.465835571289063, 2.83222222328186 42.451389312744141, 2.66666674613953 42.450000762939453, 2.57388877868652 42.445278167724609, 2.21166682243347 42.425003051757813, 2.16666674613953 42.383335113525391, 2.09749984741211 42.398334503173828, 1.98333334922791 42.371665954589837, 1.72805559635162 42.504444122314453));0xE6100000010426000000000000A091404540F0FFFF9F1DA6FB3F010000202A0345400800006035F1FC3F0100002032FC4440070000A0E417FD3F00000020BFE04440F5FFFFDFC4B3FD3F01000040A7CD4440FDFFFF9FDB1FFE3F010000401BC84440F7FFFF1FB73FFE3F000000604DA444400F0000C0DCFEFE3F00000080D29F4440EBFFFF7FC116FF3F000000A04F9A4440040000805634FF3F01000040558D44400D000000BE79FF3F000000E082854440F0FFFF9F1DA6FF3F000000A0DB7F4440EDFFFF3FF9C5FF3F0000006097534440010000A0055B004001000000DF4C4440080000A0CB6D004001000000E7254440FCFFFF1F01DF004000000060D901444002000020E01B0240000000A025174440020000A0EC300440000000600B364440010000C0703D07400000000000404440FEFFFF3FC8500740000000C0CB554440F9FFFF7F2D58074001000040136F4440030000605D6E0740000000207D8A4440FBFFFF5FB0850740000000C081BE44400B0000E0C4B30740000000E038E64440FBFFFFDFA3F00D4000000080EB194540080000400AD70F40000000E0F62F45400A00006023010B4000000080773745400800006055550940010000005B384540F9FFFFDFEEEE0840000000E0CC3C4540FBFFFFFFEEEE074000000080A03B4540010000608F42074000000020C7394540FFFFFF1F64A80640000000A0993945400800006055550540000000E0FE384540F8FFFFFF529704400000008066364540FCFFFF5F7EB1014000000020113145400800006055550140000000A0FC32454001000000AEC70040FFFFFFBF922F4540150000C0BBBBFF3F000000A091404540F0FFFF9F1DA6FB3F01000000020000000001000000FFFFFFFF0000000003
LECMCJI;POLYGON ((-3.41666674613953 39, -3.03888893127441 39, -1.48055553436279 39.001388549804688, -1.29527771472931 39, -1.25 39.150001525878913, -1.10055553913116 39.727500915527337, -1.01027774810791 40.001667022705078, -0.93055558204651 40.232501983642578, -0.60944443941116 41.140556335449219, -1.33333337306976 41.033332824707031, -1.77694439888 41.033332824707031, -2.15833353996277 41.033332824707031, -2.4219446182251 41.034721374511719, -2.5 41.033332824707031, -2.83333325386047 41.033332824707031, -2.86666679382324 40.5, -3.19444441795349 39.583332061767578, -3.41666674613953 39));0xE610000001041200000000000000008043400800006055550BC00000000000804340F7FFFFFFA44F08C0000000802D804340F3FFFFFF5AB0F7BF00000000008043400400002075B9F4BF0100004033934340000000000000F4BFFFFFFFBF1EDD4340ECFFFF1FE09BF1BF000000A036004440FFFFFFFF182AF0BF000000A0C21D44400B0000801CC7EDBF000000C0FD914440E2FFFF9F9180E3BF0000004044844440F2FFFF5F5555F5BF0000004044844440EAFFFF3F5D6EFCBF000000404484444003000060444401C0000000C07184444005000080246003C0000000404484444000000000000004C00000004044844440F8FFFF9FAAAA06C00000000000404440FBFFFFFFEEEE06C0000000A0AACA4340FDFFFFDF388E09C000000000008043400800006055550BC001000000020000000001000000FFFFFFFF0000000003
LECMPAU;POLYGON ((-2.8486111164093 41.303054809570313, -2.83333325386047 41.033332824707031, -2.5 41.033332824707031, -2.4219446182251 41.034721374511719, -2.1358335018158 41.381942749023438, -1.24583339691162 42.459999084472663, -0.99777781963348 42.752223968505859, -0.48111110925674 42.823055267333977, -0.65694439411163 42.875, -0.67916667461395 42.877220153808587, -0.72777777910233 42.896389007568359, -0.84444445371628 42.93194580078125, -0.97916662693024 42.9727783203125, -1.10805559158325 43.0091667175293, -1.33333337306976 43.049999237060547, -1.47000002861023 43.0816650390625, -1.46666669845581 43.287498474121087, -1.4913889169693 43.283889770507813, -1.51361107826233 43.291942596435547, -1.5797221660614 43.263332366943359, -1.61805558204651 43.29083251953125, -1.72111117839813 43.313888549804687, -1.7402777671814 43.354999542236328, -1.78333330154419 43.383335113525391, -1.78416669368744 43.431667327880859, -1.78333330154419 43.583332061767578, -1.96250009536743 43.646389007568359, -2.02138876914978 43.6672248840332, -2.06666660308838 43.683334350585938, -2.16583347320557 43.719444274902337, -2.31527781486511 43.431667327880859, -2.52972221374512 43.011665344238281, -2.62527799606323 42.808609008789063, -2.51472210884094 42.619998931884773, -2.62444448471069 42.256389617919922, -2.64166665077209 42.170833587646477, -2.77555561065674 41.5, -2.77999997138977 41.476943969726563, -2.8486111164093 41.303054809570313));0xE610000001042700000000000080CAA64440FCFFFF9FF4C906C00000004044844440F8FFFF9FAAAA06C0000000404484444000000000000004C0000000C07184444005000080246003C000000080E3B04440090000E02F1601C001000040E13A4540FBFFFFFFEEEEF3BF000000E048604540DDFFFFBFCBEDEFBFFFFFFFDF59694540B1FFFF3F86CADEBF0000000000704540E2FFFF3FB005E5BFFFFFFFBF48704540E8FFFFBFBBBBE5BF000000E0BC724540290000A0F449E7BF000000004A77454011000060B005EBBF00000000847C45401D0000405555EFBF000000602C814540F7FFFF7F98BAF1BF0000006066864540F2FFFF5F5555F5BF00000000748A4540020000C01E85F7BFFFFFFFBFCCA44540FEFFFF7F7777F7BF0000008056A44540030000A0BADCF7BF000000605EA5454004000040C037F8BF000000E0B4A14540FAFFFFBF8A46F9BF000000003AA54540050000408EE3F9BF000000802DA84540F6FFFFDFAB89FBBF000000A070AD4540100000802DD8FBBF0000002011B14540020000808888FCBF000000E040B7454005000060F28BFCBF000000A0AACA4540020000808888FCBF000000E0BCD24540F9FFFF7F6666FFBF000000A067D54540FFFFFFDFCD2B00C00000008077D7454002000080888800C0FFFFFFBF16DC454008000080A05301C0000000E040B74540FBFFFF5FB08502C0000000407E81454006000000DF3C04C00000008080674540FBFFFFBF910005C0010000205C4F4540FBFFFF9F261E04C000000060D1204540F8FFFFBFDCFE04C0FFFFFFDFDD154540F5FFFF1F222205C00000000000C0444004000080563406C0000000800CBD4440FFFFFF9F703D06C000000080CAA64440FCFFFF9FF4C906C001000000020000000001000000FFFFFFFF0000000003
LECMSAN;POLYGON ((-13 43, -12.829166412353519 42.945835113525391, -12 42.678890228271477, -10.81611156463623 42.283054351806641, -10.396110534667971 42.138336181640632, -10 42, -9.40138816833496 41.930278778076172, -9.36194515228272 41.925834655761719, -9.01027774810791 41.883052825927727, -8.92666721343994 41.872776031494141, -8.8411111831665 41.866943359375, -8.59749984741211 41.851108551025391, -8.08111095428467 41.814998626708977, -7.78861093521118 41.793609619140632, -7.77722215652466 41.894725799560547, -7.75388908386231 42.104721069335938, -7.42805528640747 42.536666870117188, -6.67111110687256 43.430278778076172, -6.14805555343628 44.03277587890625, -5.625 44.622219085693359, -5.83666706085205 44.658889770507813, -6.91972208023071 44.835277557373047, -7.40527772903442 44.910556793212891, -8 45, -8.75 45, -9 45, -9.68527793884277 45, -10 45, -11 45, -12 45, -13 45, -13 44.833332061767578, -13 44.5, -13 44.304721832275391, -13 44, -13 43.5, -13 43.276943206787109, -13 43));0xE610000001042600000000000000008045400000000000002AC000000020117945400200008088A829C0FFFFFFDFE556454000000000000028C0000000203B24454000000060D9A125C001000000B511454001000000CFCA24C0000000000000454000000000000024C00000006013F74440FFFFFFBF82CD22C0000000C081F64440030000E050B922C0FFFFFFDF07F1444000000020430522C000000020B7EF4440FFFFFF1F74DA21C000000000F8EE4440FEFFFF1FA6AE21C000000020F1EC444000000080EB3121C0FFFFFFDF51E8444001000060872920C00100000095E54440FEFFFF9F89271FC00000006086F2444002000020E01B1FC000000080670D454006000080FB031FC000000080B1444540FFFFFF1F54B61DC00000006013B74540020000C037AF1AC00000000032044640010000E09B9718C0000000E0A44F464000000000008016C00000008056544640FFFFFF3FBF5817C000000060EA6A4640FDFFFF9FCBAD1BC0000000208D744640FCFFFF1F019F1DC0000000000080464000000000000020C0000000000080464000000000008021C0000000000080464000000000000022C00000000000804640FEFFFFBFDC5E23C0000000000080464000000000000024C0000000000080464000000000000026C0000000000080464000000000000028C000000000008046400000000000002AC0000000A0AA6A46400000000000002AC000000000004046400000000000002AC000000020012746400000000000002AC000000000000046400000000000002AC00000000000C045400000000000002AC0000000E072A345400000000000002AC000000000008045400000000000002AC001000000020000000001000000FFFFFFFF0000000003
